Company Name,Year,n_E_corporate_tier1plus,Corporate_E_share,Verified_E_share,Specificity_E_mean,ESGSentiment_E_Corporate,n_SG_corporate_tier1plus,Corporate_SG_share,Verified_SG_share,Specificity_SG_mean,ESGSentiment_SG_Corporate
AIG,2012,1.0,0.024390243902439025,0.024390243902439025,2.0,1.0,6.0,0.14634146341463414,0.0,1.0,0.5
AIG,2013,1.0,0.045454545454545456,0.0,1.0,1.0,1.0,0.045454545454545456,0.0,1.0,1.0
AIG,2014,1.0,0.011111111111111112,0.011111111111111112,2.0,1.0,2.0,0.022222222222222223,0.0,1.0,1.0
AIG,2015,0.0,0.0,0.0,,,24.0,0.23529411764705882,0.0196078431372549,1.125,0.08333333333333333
AIG,2016,0.0,0.0,0.0,,,3.0,0.03529411764705882,0.0,1.0,0.0
AIG,2017,2.0,0.020833333333333332,0.020833333333333332,2.5,1.0,6.0,0.0625,0.010416666666666666,1.3333333333333333,0.8333333333333334
AIG,2018,0.0,0.0,0.0,,,6.0,0.08,0.0,1.0,0.8333333333333334
AIG,2019,6.0,0.09836065573770492,0.06557377049180328,1.6666666666666667,0.6666666666666666,6.0,0.09836065573770492,0.01639344262295082,1.3333333333333333,0.5
AIG,2020,,0.0,0.0,,,14.0,0.28,0.12,1.5714285714285714,0.6428571428571429
AIG,2021,6.0,0.0625,0.020833333333333332,1.5,0.6666666666666666,25.0,0.2604166666666667,0.041666666666666664,1.2,0.32
AIG,2022,0.0,0.0,0.0,,,14.0,0.175,0.075,1.5,0.6428571428571429
AIG,2023,1.0,0.008928571428571428,0.008928571428571428,3.0,1.0,7.0,0.0625,0.0,1.0,0.42857142857142855
AXA,2016,3.0,0.07142857142857142,0.023809523809523808,1.3333333333333333,0.6666666666666666,10.0,0.23809523809523808,0.023809523809523808,1.1,0.5
AXA,2017,4.0,0.1111111111111111,0.05555555555555555,1.75,1.0,4.0,0.1111111111111111,0.05555555555555555,1.75,0.75
AXA,2018,2.0,0.04878048780487805,0.04878048780487805,2.5,1.0,5.0,0.12195121951219512,0.04878048780487805,1.6,0.8
AXA,2019,4.0,0.09523809523809523,0.07142857142857142,2.25,1.0,4.0,0.09523809523809523,0.047619047619047616,2.0,0.75
AXA,2020,5.0,0.10638297872340426,0.0425531914893617,1.6,1.0,12.0,0.2553191489361702,0.0425531914893617,1.1666666666666667,0.6666666666666666
AXA,2021,11.0,0.1896551724137931,0.10344827586206896,2.0,0.8181818181818182,13.0,0.22413793103448276,0.08620689655172414,1.5384615384615385,0.9230769230769231
AXA,2022,5.0,0.11627906976744186,0.09302325581395349,1.8,0.6,6.0,0.13953488372093023,0.023255813953488372,1.1666666666666667,0.8333333333333334
AXA,2023,2.0,0.1,0.05,1.5,1.0,4.0,0.2,0.05,1.25,0.5
Allianz,2012,1.0,0.02702702702702703,0.02702702702702703,2.0,-1.0,2.0,0.05405405405405406,0.02702702702702703,1.5,1.0
Allianz,2013,2.0,0.04,0.0,1.0,0.0,,0.0,0.0,,
Allianz,2014,2.0,0.019417475728155338,0.0,1.0,0.5,2.0,0.019417475728155338,0.009708737864077669,1.5,0.0
Allianz,2015,3.0,0.03571428571428571,0.03571428571428571,2.0,1.0,6.0,0.07142857142857142,0.023809523809523808,1.3333333333333333,0.3333333333333333
Allianz,2016,2.0,0.05,0.05,2.5,1.0,5.0,0.125,0.025,1.4,0.8
Allianz,2017,2.0,0.045454545454545456,0.0,1.0,1.0,2.0,0.045454545454545456,0.022727272727272728,2.0,1.0
Allianz,2018,6.0,0.1016949152542373,0.0847457627118644,2.1666666666666665,0.5,3.0,0.05084745762711865,0.03389830508474576,2.3333333333333335,0.6666666666666666
Allianz,2019,3.0,0.07142857142857142,0.07142857142857142,2.3333333333333335,0.6666666666666666,5.0,0.11904761904761904,0.023809523809523808,1.4,0.8
Allianz,2020,2.0,0.047619047619047616,0.047619047619047616,3.0,0.5,7.0,0.16666666666666666,0.07142857142857142,1.8571428571428572,0.8571428571428571
Allianz,2021,6.0,0.12244897959183673,0.061224489795918366,1.6666666666666667,0.8333333333333334,9.0,0.1836734693877551,0.10204081632653061,2.0,0.4444444444444444
Allianz,2022,4.0,0.10256410256410256,0.05128205128205128,1.75,0.75,8.0,0.20512820512820512,0.1282051282051282,2.125,0.875
Allianz,2023,2.0,0.05263157894736842,0.02631578947368421,2.0,1.0,9.0,0.23684210526315788,0.10526315789473684,1.8888888888888888,0.6666666666666666
Allstate,2012,0.0,0.0,0.0,,,8.0,0.1568627450980392,0.0784313725490196,2.0,0.75
Allstate,2013,,0.0,0.0,,,9.0,0.1836734693877551,0.04081632653061224,1.4444444444444444,0.5555555555555556
Allstate,2014,,0.0,0.0,,,9.0,0.1836734693877551,0.04081632653061224,1.4444444444444444,0.5555555555555556
Allstate,2015,0.0,0.0,0.0,,,6.0,0.13636363636363635,0.022727272727272728,1.1666666666666667,0.16666666666666666
Allstate,2016,3.0,0.05454545454545454,0.0,1.0,0.6666666666666666,15.0,0.2727272727272727,0.12727272727272726,1.8,0.4666666666666667
Allstate,2017,0.0,0.0,0.0,,,4.0,0.25,0.0,1.0,0.0
Allstate,2018,,0.0,0.0,,,8.0,0.32,0.16,1.75,0.5
Allstate,2019,5.0,0.14705882352941177,0.08823529411764706,2.0,0.4,9.0,0.2647058823529412,0.058823529411764705,1.2222222222222223,0.6666666666666666
Allstate,2020,7.0,0.15555555555555556,0.06666666666666667,1.7142857142857142,0.7142857142857143,11.0,0.24444444444444444,0.06666666666666667,1.5454545454545454,0.36363636363636365
Allstate,2021,5.0,0.09803921568627451,0.058823529411764705,2.0,0.0,14.0,0.27450980392156865,0.0392156862745098,1.2142857142857142,0.5714285714285714
Allstate,2022,7.0,0.09333333333333334,0.06666666666666667,2.0,0.42857142857142855,17.0,0.22666666666666666,0.05333333333333334,1.2941176470588236,0.4117647058823529
