Company Name,Year,total_sent,E_sent,S_sent,G_sent,E_ratio,S_ratio,G_ratio
AIG,2012,41,1,8,0,0.024390243902439025,0.1951219512195122,0.0
AIG,2013,22,2,5,0,0.09090909090909091,0.22727272727272727,0.0
AIG,2014,90,3,7,0,0.03333333333333333,0.07777777777777778,0.0
AIG,2015,102,1,26,1,0.00980392156862745,0.2549019607843137,0.00980392156862745
AIG,2016,85,1,6,1,0.011764705882352941,0.07058823529411765,0.011764705882352941
AIG,2017,96,6,13,1,0.0625,0.13541666666666666,0.010416666666666666
AIG,2018,75,1,5,1,0.013333333333333334,0.06666666666666667,0.013333333333333334
AIG,2019,61,7,14,4,0.11475409836065574,0.22950819672131148,0.06557377049180328
AIG,2020,50,0,19,0,0.0,0.38,0.0
AIG,2021,96,12,35,6,0.125,0.3645833333333333,0.0625
AIG,2022,80,2,17,0,0.025,0.2125,0.0
AIG,2023,112,3,7,0,0.026785714285714284,0.0625,0.0
AXA,2016,42,3,11,2,0.07142857142857142,0.2619047619047619,0.047619047619047616
AXA,2017,36,5,5,1,0.1388888888888889,0.1388888888888889,0.027777777777777776
AXA,2018,41,4,5,0,0.0975609756097561,0.12195121951219512,0.0
AXA,2019,42,4,5,0,0.09523809523809523,0.11904761904761904,0.0
AXA,2020,47,5,17,0,0.10638297872340426,0.3617021276595745,0.0
AXA,2021,58,13,17,2,0.22413793103448276,0.29310344827586204,0.034482758620689655
AXA,2022,43,9,12,2,0.20930232558139536,0.27906976744186046,0.046511627906976744
AXA,2023,20,2,6,1,0.1,0.3,0.05
Allianz,2012,37,1,2,0,0.02702702702702703,0.05405405405405406,0.0
Allianz,2013,50,2,0,0,0.04,0.0,0.0
Allianz,2014,103,7,4,0,0.06796116504854369,0.038834951456310676,0.0
Allianz,2015,84,6,7,0,0.07142857142857142,0.08333333333333333,0.0
Allianz,2016,40,3,7,0,0.075,0.175,0.0
Allianz,2017,44,5,2,0,0.11363636363636363,0.045454545454545456,0.0
Allianz,2018,59,8,6,0,0.13559322033898305,0.1016949152542373,0.0
Allianz,2019,42,3,7,0,0.07142857142857142,0.16666666666666666,0.0
Allianz,2020,42,2,8,1,0.047619047619047616,0.19047619047619047,0.023809523809523808
Allianz,2021,49,9,15,2,0.1836734693877551,0.30612244897959184,0.04081632653061224
Allianz,2022,39,4,11,0,0.10256410256410256,0.28205128205128205,0.0
Allianz,2023,38,3,10,0,0.07894736842105263,0.2631578947368421,0.0
Allstate,2012,51,4,11,1,0.0784313725490196,0.21568627450980393,0.0196078431372549
Allstate,2013,49,0,8,2,0.0,0.16326530612244897,0.04081632653061224
Allstate,2014,49,0,8,2,0.0,0.16326530612244897,0.04081632653061224
Allstate,2015,44,1,6,1,0.022727272727272728,0.13636363636363635,0.022727272727272728
Allstate,2016,55,3,19,1,0.05454545454545454,0.34545454545454546,0.01818181818181818
