dv,variable,VIF
Q,E_ratio_lag,1.1776632911185767
Q,S_ratio_lag,1.1159048740838806
Q,G_ratio_lag,1.1162578671600119
Q,SR_CEO_Letter_lag1,1.2238727256521624
Q,Leverage,2.323395392188762
Q,Size,1.9136821359244347
Q,ROA,1.572801333823094
Q,Revenue_Growth,1.1013310242913068
ROE,E_ratio_lag,1.1776632911185767
ROE,S_ratio_lag,1.1159048740838806
ROE,G_ratio_lag,1.1162578671600119
ROE,SR_CEO_Letter_lag1,1.2238727256521624
ROE,Leverage,2.323395392188762
ROE,Size,1.9136821359244347
ROE,ROA,1.572801333823094
ROE,Revenue_Growth,1.1013310242913068
