Company,Year,Market Capitalization (Million USD),Total Assets (Million USD),Total Liabilities (Million USD),Tobins Q,Region
AIG,2024,44128.4081,161322.0,118772.0,1.0097842086014306,N. America
AIG,2021,46550.5635,596112.0,527200.0,0.9624878605027244,N. America
AIG,2020,32618.5877,586481.0,519282.0,0.9410374550923218,N. America
AIG,2019,44657.0503,525064.0,457637.0,0.9566339537656362,N. America
AIG,2023,46668.8945,539306.0,488005.0,0.9914109883813643,N. America
AIG,2018,34153.0776,491984.0,434675.0,0.9529335864580962,N. America
AIG,2017,53565.0807,498301.0,432593.0,0.9756313567502373,N. America
AIG,2016,65005.3838,498264.0,421406.0,0.9762121762760304,N. America
AIG,2015,73987.0128,496842.0,406632.0,0.9673477942686005,N. America
AIG,2014,77065.6696,515581.0,408309.0,0.9414130264691678,N. America
AIG,2013,74740.4326,541329.0,440218.0,0.9512855077041873,N. America
AIG,2022,46426.2583,522228.0,478774.0,1.0056914954770713,N. America
AIG,2012,52114.1643,548633.0,449630.0,0.9145351524607525,N. America
AXA,2015,66466.3173,963890.262,884959.638,0.987068749222409,Europe
AXA,2020,57686.8583,983610.0525,890484.8925,0.9639711879622133,Europe
AXA,2019,68169.3776,876847.9062,793049.2479,0.9821756081191633,Europe
AXA,2018,40328.927,1065800.0,981944.8688,0.9591610018765248,Europe
AXA,2017,70888.6445,1046100.0,955583.0964,0.9812367277506931,Europe
AXA,2016,61197.1627,941618.2301,861587.5941,0.9799988225610289,Europe
AXA,2014,56739.8122,1016500.0,934157.51,0.9748129091982293,Europe
AXA,2013,67268.5494,1041700.0000000001,965225.8633,0.9911629189785925,Europe
AXA,2012,42082.5367,1005400.0000000001,931577.5497,0.9684305613686093,Europe
AXA,2021,72197.2418,882974.0526,797318.3132,0.9847577654627898,Europe
AXA,2023,74071.1274,712947.564,654972.204,1.0225763691647876,Europe
AXA,2022,65632.0739,683744.1827,631163.8837,1.0190886814546056,Europe
AXA,2024,78664.6815,676578.2938,622268.8116,1.0359976066675287,Europe
Allianz,2023,104790.912,1087800.0,1019700.0,1.0337294649751794,Europe
Allianz,2012,62675.7507,916461.7059,846566.4348,0.9921223981825732,Europe
Allianz,2013,81554.4452,981128.717,908255.2309,1.0088479309081317,Europe
Allianz,2014,75493.0715,975002.27,897922.85,0.9983729796854729,Europe
Allianz,2015,80828.2688,922460.3772,850637.2038,1.0097620403245218,Europe
Allianz,2016,75353.7109,932153.3523,858181.9678,1.0014829388282402,Europe
Allianz,2017,101039.5078,1083500.0,1001100.0000000001,1.0172030528841718,Europe
Allianz,2018,84941.1378,1027900.0,954968.5376,1.0116837001653858,Europe
Allianz,2019,102161.9547,1135500.0,1048600.0,1.0134407350946721,Europe
Allianz,2020,101097.7668,1295900.0,1192400.0,0.9981462819662011,Europe
Allianz,2021,96515.3727,1297400.0,1201500.0,1.0004743122398643,Europe
Allianz,2024,118178.9167,1081000.0,1014699.9999999999,1.0479915973172989,Europe
Allianz,2022,86415.5582,1002400.0,939528.2182,1.0234874066241022,Europe
Allstate,2024,51089.35,111617.0,90250.0,1.2662887373787148,N. America
Allstate,2019,35871.55,119950.0,93952.0,1.0823138807836599,N. America
Allstate,2018,27433.16,112249.0,90937.0,1.0545319780131672,N. America
Allstate,2017,37172.05,112422.0,89871.0,1.130055060397431,N. America
Allstate,2016,27127.92,108610.0,88037.0,1.0603528220237548,N. America
Allstate,2015,23656.29,104656.0,84631.0,1.0346973895428835,N. America
Allstate,2014,29364.5,108479.0,86175.0,1.0650863300731017,N. America
Allstate,2013,24488.46,123520.0,102040.0,1.0243560556994817,N. America
Allstate,2012,19241.43,126947.0,106367.0,0.9894556783539586,N. America
Allstate,2023,36674.76,103362.0,85732.0,1.184253013680076,N. America
Allstate,2020,33418.72,125987.0,95770.0,1.025413098176796,N. America
Allstate,2021,33059.65,99440.0,74313.0,1.0797732300884955,N. America
Allstate,2022,35662.8,97989.0,80626.0,1.1867536152017064,N. America
Assicurazioni Generali,2016,23225.7327,549692.7648,522620.7252,0.993002806028565,Europe
Assicurazioni Generali,2024,42942.4411,557445.7803,523195.7648,1.0155933113267481,Europe
Assicurazioni Generali,2023,33301.427,562727.2104,528114.5928,0.9976699356708414,Europe
Assicurazioni Generali,2022,27536.1831,539016.0796,507983.0993,0.9935126291545978,Europe
Assicurazioni Generali,2021,33401.2972,667475.785,631181.7714,0.995666185253447,Europe
Assicurazioni Generali,2020,27366.3609,665907.975,627037.365,0.982723965574973,Europe
Assicurazioni Generali,2019,32419.9404,577815.1446,544294.3338,0.9980947706021757,Europe
Assicurazioni Generali,2018,26164.2519,590725.0804,562503.9168,0.9965179882008613,Europe
Assicurazioni Generali,2017,28595.2856,645690.8002,614219.6086,0.9955460012762931,Europe
Assicurazioni Generali,2015,28617.8343,543894.3702,517047.744,1.0032565295708957,Europe
Assicurazioni Generali,2014,32018.5246,606594.78,577330.93,1.004541210526078,Europe
Assicurazioni Generali,2013,36698.9417,620030.6584,590515.3039,1.0115858580582733,Europe
Assicurazioni Generali,2012,27940.2158,583324.5561,554652.7539,0.9987458330146578,Europe
China Life,2015,114920.7156,377389.5954,327106.1272,1.1712745878208173,Asia
China Life,2014,143782.5247,361917.55,315629.0879,1.2693819700094677,Asia
China Life,2019,124958.8112,535188.8445,476404.0555,1.1236461164690812,Asia
China Life,2012,95760.3134,304557.498,268775.4611,1.1969358065188727,Asia
China Life,2016,91670.6824,388626.4536,344294.8542,1.1218112729112477,Asia
China Life,2018,77536.6203,473126.8445,426126.7718,1.064541989014111,Asia
China Life,2017,120833.5236,445324.2043,395328.0465,1.159069201979148,Asia
China Life,2013,75327.6483,325976.6374,289200.3172,1.1182640829952926,Asia
China Life,2024,53416.823,927411.2941,856001.5892,0.9805988108895514,Asia
China Life,2023,92774.7698,796165.0144,748607.4185,1.0567937212539744,Asia
China Life,2022,124828.0618,726244.1655,671889.2239,1.0970377781300056,Asia
China Life,2021,110908.9109,769729.8658,693089.4731,1.0445201878250934,Asia
China Life,2020,138885.2205,651499.2646,581494.2088,1.1057256215665727,Asia
Chubb,2023,91590.938,230682.0,166991.0,1.1209454487129469,Europe
Chubb,2024,110714.4221,246548.0,178154.0,1.1716518572448367,Europe
Chubb,2022,91459.6252,199017.0,148498.0,1.2057142113487793,Europe
Chubb,2021,82460.7516,200054.0,140340.0,1.113703058174293,Europe
Chubb,2020,69376.7656,190774.0,131333.0,1.0520813402245588,Europe
Chubb,2019,70353.8941,176943.0,121612.0,1.0849024493763528,Europe
Chubb,2018,59319.8924,167771.0,117459.0,1.0536915938988265,Europe
Chubb,2016,61563.7868,159786.0,111511.0,1.0831661522286058,Europe
Chubb,2015,37925.2381,102306.0,73171.0,1.085921041776631,Europe
Chubb,2014,37756.4247,98248.0,68661.0,1.083151053456559,Europe
Chubb,2013,35178.8661,94510.0,65685.0,1.0672295640672944,Europe
Chubb,2012,27157.6584,92545.0,65014.0,0.9959658371603004,Europe
Chubb,2017,67779.9424,167022.0,115850.0,1.0994356575780435,Europe
Daichi,2021,19090.7425,574936.3077,531476.1414,0.9576136982938362,Asia
Daichi,2023,18031.6546,464364.6833,444316.7508,0.9956579861205823,Asia
Daichi,2020,13571.1859,556800.8814,521758.0349,0.961437452207309,Asia
Daichi,2022,21060.6329,541964.1412,505698.0421,0.9719437781135621,Asia
Daichi,2018,21301.1529,504641.5741,469344.3513,0.97226532529556,Asia
Daichi,2017,21077.9353,467036.6544,438851.7114,0.9847827624811797,Asia
Daichi,2024,24066.5326,446340.9265,420685.6463,0.9964405065597317,Asia
Daichi,2016,14359.5873,443777.0844,417706.3378,0.9736102658030803,Asia
Daichi,2015,17337.4207,415483.1346,385554.6061,0.9696952613681373,Asia
Daichi,2014,14441.3893,365821.0537,346925.0315,0.9878229181865155,Asia
Daichi,2013,13303.8474,378841.1271,361339.3229,0.9889189517723829,Asia
Daichi,2012,13675.0551,405042.5995,393040.3606,1.0041299759631825,Asia
Daichi,2019,15905.6303,505021.7658,471496.5153,0.9651111666997384,Asia
India Life Insurance,2019,,494386.3361,494256.8796,,Asia
India Life Insurance,2020,,464330.9376,464185.2487,,Asia
India Life Insurance,2021,,523434.3481,522479.851,,Asia
India Life Insurance,2022,,560385.353,558875.9074,,Asia
India Life Insurance,2023,41154.1321,557506.1467,551862.2806,1.0636948421289936,Asia
India Life Insurance,2024,69516.0172,637744.535,627799.4074,1.0934087025928023,Asia
MSAD,2012,12787.2625,175931.3082,157631.2477,0.9686650542396184,Asia
MSAD,2013,13636.3894,168909.6052,147453.1734,0.9537027962930792,Asia
MSAD,2014,14218.1286,163754.2253,141576.7537,0.9513945793739468,Asia
MSAD,2015,17199.5023,156629.0454,131316.4485,0.9482018512001988,Asia
MSAD,2017,18840.3628,190767.2267,166201.3117,0.9699867094623963,Asia
MSAD,2018,18711.5318,211569.6385,183623.9879,0.9563542346365544,Asia
MSAD,2019,17758.4731,208833.9713,183754.5545,0.9649437126803325,Asia
MSAD,2020,15971.1187,215220.4027,192080.321,0.9666901329517863,Asia
MSAD,2023,16522.6116,183399.7439,159753.5814,0.9611583378007105,Asia
MSAD,2021,16396.5671,218267.4442,190000.0,0.9456131575484861,Asia
MSAD,2022,17907.9376,205938.1869,178768.4847,0.955026482754763,Asia
MSAD,2024,28408.0086,178166.8451,148338.9175,0.9920303971302683,Asia
MSAD,2016,16827.6924,180476.88,156252.2222,0.959014332472946,Asia
MetLife,2016,59037.5192,898764.0,831062.0,0.9903595595729245,N. America
MetLife,2023,48329.2001,687584.0,657331.0,1.0262894425990134,N. America
MetLife,2022,56383.3522,663072.0,632947.0,1.0396010572004246,N. America
MetLife,2024,56432.602,677457.0,649754.0,1.0424080081835452,N. America
MetLife,2020,41922.1527,795146.0,720329.0,0.9586304310151846,N. America
