model,term,variant,coef,se,p,n,ci_lo,ci_hi
Model 1,ESG_sentence_ratio_lag,"baseline (HC3, N=183)",0.02901408057196468,0.030232003411076052,0.3371991144714497,183,-0.030239557761621585,0.08826771890555095
Model 1,ESG_sentence_ratio_lag,cluster-robust SE by firm,0.02901408057196468,0.030710359711164707,0.344778738111044,183,-0.03117711888896854,0.0892052800328979
Model 1,ESG_sentence_ratio_lag,excl. Progressive,0.02901408057196468,0.030232003411076052,0.3371991144714497,183,-0.030239557761621585,0.08826771890555095
Model 1,ESG_sentence_ratio_lag,ROE as DV,0.0062352190460256435,0.01817249037514693,0.7315133954111093,183,-0.029382207879608838,0.04185264597166012
Model 1,ESG_sentence_ratio_lag,drop ROA control,0.03092483295397265,0.030488048855325738,0.31042702904563013,183,-0.028830645232707,0.09068031114065231
Model 2,Corporate_ESG_share_lag,"baseline (HC3, N=183)",0.03098968511430382,0.032482752970283864,0.34006589677302335,183,-0.032675341328345625,0.09465471155695326
Model 2,Corporate_ESG_share_lag,cluster-robust SE by firm,0.03098968511430382,0.03049918308547775,0.30959011868499264,183,-0.028787615762641494,0.09076698599124913
Model 2,Corporate_ESG_share_lag,excl. Progressive,0.03098968511430382,0.032482752970283864,0.34006589677302335,183,-0.032675341328345625,0.09465471155695326
Model 2,Corporate_ESG_share_lag,ROE as DV,0.004709812471597541,0.01776370107827358,0.7909040092785002,183,-0.030106402148579854,0.03952602709177493
Model 2,Corporate_ESG_share_lag,drop ROA control,0.03346541809716512,0.03208569848128675,0.2969477935940169,183,-0.029421395841011583,0.09635223203534182
Model 3,Corporate_ESG_share_lag,"baseline (HC3, N=183)",0.0679675162323935,0.04759889744321217,0.15331429000734423,183,-0.0253246091959944,0.16125964166078138
Model 3,Corporate_ESG_share_lag,cluster-robust SE by firm,0.0679675162323935,0.040651021452221735,0.09452913241858181,183,-0.01170702237718882,0.14764205484197582
Model 3,Corporate_ESG_share_lag,excl. Progressive,0.0679675162323935,0.04759889744321217,0.15331429000734423,183,-0.0253246091959944,0.16125964166078138
Model 3,Corporate_ESG_share_lag,ROE as DV,0.039148151528365996,0.03502094856961873,0.2636312557841999,183,-0.029491646913938213,0.1077879499706702
Model 3,Corporate_ESG_share_lag,drop ROA control,0.06994311515465468,0.045589700069246605,0.12498370896225415,183,-0.019411055751866177,0.15929728606117555
Model 3,Verified_ESG_share_lag,"baseline (HC3, N=183)",-0.07462303772035617,0.06255367055881227,0.23289123197721295,183,-0.19722598008348807,0.04797990464277575
Model 3,Verified_ESG_share_lag,cluster-robust SE by firm,-0.07462303772035617,0.050988109185948455,0.14332021079892104,183,-0.17455789615288445,0.02531182071217211
Model 3,Verified_ESG_share_lag,excl. Progressive,-0.07462303772035617,0.06255367055881227,0.23289123197721295,183,-0.19722598008348807,0.04797990464277575
Model 3,Verified_ESG_share_lag,ROE as DV,-0.06949822087327444,0.05270852462745102,0.18732343387513606,183,-0.17280503163619187,0.033808589889642984
Model 3,Verified_ESG_share_lag,drop ROA control,-0.07345593422347285,0.06047665458687716,0.22451244514527235,183,-0.19198800005418698,0.04507613160724126
Model 4,Corporate_ESG_share_lag,"baseline (HC3, N=183)",0.030500648358795596,0.032550484848153954,0.34874521963122007,183,-0.03329713012613163,0.09429842684372282
Model 4,Corporate_ESG_share_lag,cluster-robust SE by firm,0.030500648358795596,0.03047901751277274,0.316967178279165,183,-0.029237128721608517,0.09023842543919972
Model 4,Corporate_ESG_share_lag,excl. Progressive,0.030500648358795596,0.032550484848153954,0.34874521963122007,183,-0.03329713012613163,0.09429842684372282
Model 4,Corporate_ESG_share_lag,ROE as DV,0.007643958677115977,0.01814242738730266,0.6735137343755273,183,-0.027914545874611296,0.043202463228843246
Model 4,Corporate_ESG_share_lag,drop ROA control,0.032711079483547234,0.03199973248208211,0.30667215929455416,183,-0.030007244190964358,0.09542940315805883
Model 4,Specificity_mean_lag,"baseline (HC3, N=183)",0.0008453448174723377,0.0059649678651646975,0.8873025576578277,183,-0.010845777459407324,0.012536467094352
Model 4,Specificity_mean_lag,cluster-robust SE by firm,0.0008453448174723377,0.004154804197532203,0.8387739354406253,183,-0.0072979218367396695,0.008988611471684345
Model 4,Specificity_mean_lag,excl. Progressive,0.0008453448174723377,0.0059649678651646975,0.8873025576578277,183,-0.010845777459407324,0.012536467094352
Model 4,Specificity_mean_lag,ROE as DV,-0.0050719404228976245,0.004927588974776823,0.30334128863814824,183,-0.014729837420257106,0.004585956574461856
Model 4,Specificity_mean_lag,drop ROA control,0.0012302829012353286,0.006038079131216982,0.8385457250474243,183,-0.010604134825101232,0.013064700627571889
