dv,spec,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_lo_hc3,ci_hi_hc3,n
Q,PlainPositive alone,Corporate_ESG_share_lag,0.05764602831871868,0.04246721914097988,0.17464648300725172,0.03684912517912687,0.11772839374648732,-0.025588191721171896,0.14088024835860924,183
Q,PlainPositive alone,PlainPositiveSpecific_share_lag,-0.07077653329553613,0.07880130869413322,0.36909788832888824,0.06641374468534567,0.28656332487897607,-0.22522426027066028,0.08367119367958803,183
Q,MitigatedNegative alone,Corporate_ESG_share_lag,0.030934870804733478,0.03280415151604755,0.34567223477945885,0.030938911764951976,0.3173737200362803,-0.03336008471011473,0.09522982631958168,183
Q,MitigatedNegative alone,MitigatedNegativeSpecific_share_lag,0.0028374698582095403,0.20445571597895543,0.9889271830428836,0.15420888267841484,0.9853196157839571,-0.39788836989389353,0.4035633096103126,183
Q,"Both, joint",Corporate_ESG_share_lag,0.057552611282332244,0.04232425554115173,0.17389255981412777,0.036869796578187335,0.1185310539353232,-0.02540140525079497,0.14050662781545947,183
Q,"Both, joint",PlainPositiveSpecific_share_lag,-0.07079756089692302,0.07996442221338142,0.37596074547828207,0.0668014964200315,0.2892265032847352,-0.22752494847970528,0.08592982668585925,183
Q,"Both, joint",MitigatedNegativeSpecific_share_lag,0.005245702049917256,0.21059837218077193,0.9801278999892019,0.15684661050040719,0.9733198918631834,-0.4075195226271578,0.4180109267269923,183
ROE,PlainPositive alone,Corporate_ESG_share_lag,0.02668979292066511,0.032450569743674634,0.41080642408504275,0.026342677941250985,0.31097566946024635,-0.036912155054742345,0.09029174089607256,183
ROE,PlainPositive alone,PlainPositiveSpecific_share_lag,-0.05836009861363964,0.06311456920533791,0.35513800199315715,0.04849698696360177,0.2288309432389215,-0.1820623811558627,0.06534218392858344,183
ROE,MitigatedNegative alone,Corporate_ESG_share_lag,0.011020195609131044,0.018313804388127658,0.5473455125889298,0.013907555970002766,0.42813383930828264,-0.024874201411510765,0.04691459262977285,183
ROE,MitigatedNegative alone,MitigatedNegativeSpecific_share_lag,-0.3266578031758112,0.21372852590635025,0.1264189156033301,0.14054924382401102,0.020117350002494483,-0.7455580164210935,0.09224241006947115,183
ROE,"Both, joint",Corporate_ESG_share_lag,0.032472449226937296,0.03089557908233646,0.2932408167103827,0.024621741087825298,0.1872183684330868,-0.02808177305595122,0.09302667150982581,183
ROE,"Both, joint",PlainPositiveSpecific_share_lag,-0.05705845817984283,0.06213890608002127,0.3584929867567155,0.047792200590277584,0.23252240921447698,-0.1788484761354015,0.06473155977571585,183
ROE,"Both, joint",MitigatedNegativeSpecific_share_lag,-0.3247169168789088,0.22244410373083526,0.14435368228866793,0.14625493464998834,0.026404400570997202,-0.7606993487646379,0.11126551500682019,183
