firm_dropped,n,coef,hc3_p,cluster_p
None dropped,183,-0.3266578031758112,0.1264189156033301,0.020117350002494483
AIG,173,-0.37704119022886584,0.09840685801537033,0.010243702370872616
AXA,177,-0.31520956163258024,0.20013083153156574,0.043142614937934434
Allianz,173,-0.3736442603830808,0.11322798027311572,0.014356922588239411
Allstate,173,-0.2058905818872793,0.1239729822211424,0.07797490976132011
Assicurazioni Generali,173,-0.35833490566820275,0.12547093677957094,0.01747033403981368
China Life,173,-0.3400502617003916,0.11075451039789762,0.019777046419512508
Chubb,174,-0.34062223229645705,0.11657406744337237,0.01764907119619432
Daichi,173,-0.34646308674150317,0.10281598242343741,0.016057965272198594
MSAD,173,-0.3229502203581789,0.13680380098347522,0.023005367732138668
Munich RE,173,-0.32065385572859156,0.16250891873485174,0.031364246189526684
People Insurance China,173,-0.3211529581520576,0.13720665856849476,0.023123484068554422
Ping An,173,-0.286094715108469,0.1420176228733466,0.01573974493383327
Power Corp Canada,173,-0.32281395617831216,0.13179491434677787,0.019783253059215366
Prudentials,176,-0.31577982934466275,0.15442751435709573,0.02849590804191877
Sompo,173,-0.33909262619223185,0.11512553354153944,0.01656101340922659
Swiss RE,175,-0.2765567235101768,0.3027393421800104,0.08082044922722725
Talanx,177,-0.307085390377648,0.12728981349207408,0.02235968920727276
Tokio Marine,175,-0.3402607519070625,0.11996456476553462,0.0168761447061201
Travelers,173,-0.3041820366431084,0.1872492778444067,0.040563547514682115
Zurich,174,-0.37178050886698977,0.09101842759066273,0.01115712491268508
MetLife (already 0 rows -- n/a),183,-0.3266578031758112,0.1264189156033301,0.020117350002494483
Progressive (already 0 rows -- n/a),183,-0.3266578031758112,0.1264189156033301,0.020117350002494483
