Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
American International Group (AIG),2012,2013-04-01,221.0,0.0012004373388496,0.4679529125937234,0.0138084199361698,-0.0168013796145952,0.000107135912297,0.0138084199361698,AIG,1.1428571428571428,41.0,0.5714285714285714,0.1707317073170731,0.024390243902439,both,,True,False,-1.2923606651980517,3.713572066704308
American International Group (AIG),2013,2014-04-02,221.0,0.0010711287679622,0.3438718049660335,0.01524822045724,0.0060430762140658,0.0174571530990683,0.01524822045724,AIG,1.0,22.0,1.0,0.0909090909090909,0.0,both,,True,False,-1.9146803413719182,3.091042453358316
American International Group (AIG),2014,2015-03-31,221.0,0.00028799384339,0.8241002003297361,0.0160059939224788,0.0127855067706493,0.0066214644881364,0.0160059939224788,AIG,1.3333333333333333,90.0,1.0,0.0333333333333333,0.0111111111111111,both,,True,False,-0.4626010969662292,4.499809670330265
American International Group (AIG),2015,2016-04-01,221.0,0.0002558686602485,0.8711733712004635,0.0064976156624949,0.0206297309826258,0.0105035969674003,0.0064976156624949,AIG,1.125,102.0,0.0833333333333333,0.2352941176470588,0.0196078431372549,both,,True,False,-1.3701506247197848,4.624972813284271
American International Group (AIG),2016,2017-04-03,221.0,0.0001730042624671,1.0087623232605978,-0.0011380640704293,0.002078517651547,-0.0023420998296414,0.0011380640704293,AIG,1.0,85.0,0.0,0.0352941176470588,0.0,both,,True,False,-1.9146803413719182,4.442651256490317
American International Group (AIG),2017,2018-04-02,221.0,-0.0006503663385443,0.7213419943808749,-0.0138926845805581,0.0038346453364978,-0.0028906710087948,0.0138926845805581,AIG,1.625,96.0,0.875,0.0833333333333333,0.03125,both,,True,False,0.8079682418887493,4.564348191467836
American International Group (AIG),2018,2019-04-01,221.0,-0.0010215893535185,1.0149822317799255,-0.0038974914622265,-0.0015757878674328,0.0015260289895251,0.0038974914622265,AIG,1.0,75.0,0.8333333333333334,0.08,0.0,both,,True,False,-1.9146803413719182,4.31748811353631
American International Group (AIG),2019,2020-03-30,221.0,-9.163834595472482e-05,1.0198070095905911,-0.1080738605873305,-0.1579248685120652,-0.0664381043654763,0.1080738605873305,AIG,1.5,61.0,0.5833333333333334,0.1967213114754098,0.081967213114754,both,,True,True,0.2634385252366158,4.110873864173311
American International Group (AIG),2020,2021-04-01,221.0,8.049281639699748e-05,1.7396261731533875,-0.0612530259545551,-0.0389030431486961,-0.0312622261384516,0.0612530259545551,AIG,1.5714285714285714,50.0,0.6428571428571429,0.28,0.12,both,,True,False,0.5745983633235491,3.912023005428146
American International Group (AIG),2021,2022-03-31,221.0,0.0009838015812361,1.133717779335371,0.0279611743835211,-0.0299451112473378,0.0147836458898495,0.0279611743835211,AIG,1.2580645161290325,96.0,0.3870967741935484,0.3229166666666667,0.0625,both,,True,False,-0.7904899586062223,4.564348191467836
