outcome,specification,scenario,predictor,covariance,N,firms,years,coefficient,SE,p_value,CI95_low,CI95_high,R_squared,inference_df,controls,standardization
"CAR[-1,+1]",pooled,main,Specificity_mean,HC3,62,7,12,-0.0057570310563775755,0.007999624147417386,0.47452670506112427,-0.021758661815389255,0.010244599702634104,0.003153228500194505,60.0,,none
"CAR[-1,+1]",pooled,main,Specificity_mean,firm_cluster_CR1,62,7,12,-0.0057570310563775755,0.014997259667611893,0.7143080159302092,-0.04245400347175572,0.030939941359000574,0.003153228500194505,6.0,,none
"CAR[-1,+1]",pooled,main,Specificity_z,HC3,62,7,12,-0.001321560348389443,0.0018363607859182855,0.47452670506112343,-0.004994828828894184,0.0023517081321152984,0.003153228500194505,60.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",pooled,main,Specificity_z,firm_cluster_CR1,62,7,12,-0.001321560348389443,0.0034427091876219652,0.7143080159302085,-0.009745566259627332,0.007102445562848446,0.003153228500194505,6.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_FE,main,Specificity_mean,HC3,61,6,12,-0.0193219668127029,0.015039747559904715,0.20437158501421962,-0.049474845195132726,0.010830911569726924,0.1387886793370373,54.0,,none
"CAR[-1,+1]",firm_FE,main,Specificity_mean,firm_cluster_CR1,61,6,12,-0.0193219668127029,0.022983743682306185,0.43886839746750156,-0.07840356083736008,0.03975962721195428,0.1387886793370373,5.0,,none
"CAR[-1,+1]",firm_FE,main,Specificity_z,HC3,61,6,12,-0.004435471155618892,0.003452462533259854,0.20437158501422037,-0.011357241781796843,0.0024862994705590587,0.1387886793370372,54.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_FE,main,Specificity_z,firm_cluster_CR1,61,6,12,-0.004435471155618892,0.005276053578768468,0.4388683974675002,-0.017997998649045086,0.009127056337807304,0.1387886793370372,5.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,main,Specificity_mean,HC3,61,6,12,-0.02111077459299376,0.021455357153376656,0.33064940716061475,-0.06437962599585535,0.022158076809867835,0.3152018424738978,43.0,,none
"CAR[-1,+1]",firm_year_FE,main,Specificity_mean,firm_cluster_CR1,61,6,12,-0.02111077459299376,0.02332445232367686,0.4069130809941841,-0.08106818806240272,0.03884663887641521,0.3152018424738978,5.0,,none
"CAR[-1,+1]",firm_year_FE,main,Specificity_z,HC3,61,6,12,-0.004846102505384522,0.004925203459346553,0.3306494071606143,-0.014778721901458609,0.005086516890689565,0.31520184247389793,43.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,main,Specificity_z,firm_cluster_CR1,61,6,12,-0.004846102505384522,0.005354265251830482,0.40691308099418405,-0.01860967950491866,0.008917474494149613,0.31520184247389793,5.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",pooled,main,Specificity_mean,HC3,62,7,12,-0.00158619401095662,0.0066781507497644,0.8130626375798437,-0.014944484410793246,0.011772096388880006,0.0004063987798529345,60.0,,none
"|CAR|[-1,+1]",pooled,main,Specificity_mean,firm_cluster_CR1,62,7,12,-0.00158619401095662,0.011953751401696315,0.8987735136777716,-0.030835969981408237,0.027663581959494997,0.0004063987798529345,6.0,,none
"|CAR|[-1,+1]",pooled,main,Specificity_z,HC3,62,7,12,-0.0003641201670105399,0.0015330087930790232,0.8130626375798443,-0.0034305943169352193,0.0027023539829141396,0.0004063987798530455,60.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",pooled,main,Specificity_z,firm_cluster_CR1,62,7,12,-0.0003641201670105399,0.00274405395980731,0.8987735136777719,-0.007078578321444354,0.006350337987423274,0.0004063987798530455,6.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_FE,main,Specificity_mean,HC3,61,6,12,0.00878617443128028,0.012063956060650029,0.46957679577315276,-0.01540060120832774,0.032972950070888296,0.07101442107928702,54.0,,none
"|CAR|[-1,+1]",firm_FE,main,Specificity_mean,firm_cluster_CR1,61,6,12,0.00878617443128028,0.019595509966980344,0.6726434986051345,-0.04158568754986976,0.05915803641243031,0.07101442107928702,5.0,,none
"|CAR|[-1,+1]",firm_FE,main,Specificity_z,HC3,61,6,12,0.002016918030961496,0.0027693520876191594,0.46957679577315026,-0.0035352986112065126,0.007569134673129504,0.07101442107928702,54.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_FE,main,Specificity_z,firm_cluster_CR1,61,6,12,0.002016918030961496,0.004498264595974906,0.672643498605132,-0.009546239231337524,0.013580075293260514,0.07101442107928702,5.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,main,Specificity_mean,HC3,61,6,12,0.010715535701744107,0.015366302870496841,0.4893435348018821,-0.020273567428158994,0.041704638831647205,0.3809351655270373,43.0,,none
