Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
American International Group (AIG),2012,2013-04-01,221,0.0012004373388496,0.4679529125937234,0.0138084199361698,-0.0168013796145952,0.000107135912297,0.0138084199361698,0.02875276518421683,0.03400967341569509,41.0,0.6097560975609756,0.073170731707317,0.5365853658536586,9.0,0.5555555555555556,0.2222222222222222,0.3333333333333333,1.1428571428571428,0.8888888888888888,9.0,7.0,AIG,both,,True,False
American International Group (AIG),2013,2014-04-02,221,0.0010711287679622,0.3438718049660335,0.01524822045724,0.0060430762140658,0.0174571530990683,0.01524822045724,0.02075472524325124,0.032039567243471685,22.0,0.6818181818181818,0.0,0.6818181818181818,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,6.0,2.0,AIG,both,,True,False
American International Group (AIG),2014,2015-03-31,221,0.00028799384339,0.8241002003297361,0.0160059939224788,0.0127855067706493,0.0066214644881364,0.0160059939224788,0.004111697686439939,0.012736363701760761,90.0,0.6555555555555556,0.0333333333333333,0.6222222222222222,8.0,0.625,0.0,0.625,1.3333333333333333,0.5,8.0,3.0,AIG,both,,True,False
American International Group (AIG),2015,2016-04-01,221,0.0002558686602485,0.8711733712004635,0.0064976156624949,0.0206297309826258,0.0105035969674003,0.0064976156624949,-0.012728072845015441,0.018111315677137883,102.0,0.3725490196078431,0.0392156862745098,0.3333333333333333,27.0,0.1851851851851851,0.037037037037037,0.1481481481481481,1.125,0.9310344827586208,29.0,24.0,AIG,both,,True,False
American International Group (AIG),2016,2017-04-03,221,0.0001730042624671,1.0087623232605978,-0.0011380640704293,0.002078517651547,-0.0023420998296414,0.0011380640704293,-0.013755447402429268,-0.03801240775857758,85.0,0.5176470588235295,0.0941176470588235,0.4235294117647059,8.0,0.5,0.125,0.375,1.0,0.5,8.0,3.0,AIG,both,,True,False
American International Group (AIG),2017,2018-04-02,221,-0.0006503663385443,0.7213419943808749,-0.0138926845805581,0.0038346453364978,-0.0028906710087948,0.0138926845805581,-0.012658435913416165,0.03724149245673153,96.0,0.5416666666666666,0.0208333333333333,0.5208333333333333,17.0,0.4705882352941176,0.0,0.4705882352941176,1.625,0.8823529411764706,17.0,8.0,AIG,both,,True,False
American International Group (AIG),2018,2019-04-01,221,-0.0010215893535185,1.0149822317799255,-0.0038974914622265,-0.0015757878674328,0.0015260289895251,0.0038974914622265,0.025897991739704515,0.08554256967719048,75.0,0.7466666666666667,0.04,0.7066666666666667,7.0,0.8571428571428571,0.0,0.8571428571428571,1.0,1.1428571428571428,7.0,6.0,AIG,both,,True,False
American International Group (AIG),2019,2020-03-30,221,-9.163834595472482e-05,1.0198070095905911,-0.1080738605873305,-0.1579248685120652,-0.0664381043654763,0.1080738605873305,-0.20053947103428835,-0.09226092757104207,61.0,0.8032786885245902,0.0327868852459016,0.7704918032786885,15.0,0.6,0.0,0.6,1.5,1.3333333333333333,15.0,12.0,AIG,both,,True,True
American International Group (AIG),2020,2021-04-01,221,8.049281639699748e-05,1.7396261731533875,-0.0612530259545551,-0.0389030431486961,-0.0312622261384516,0.0612530259545551,-0.05077061410480437,-0.02667823827731552,50.0,0.62,0.02,0.6,19.0,0.5263157894736842,0.0526315789473684,0.4736842105263157,1.5714285714285714,1.368421052631579,19.0,14.0,AIG,both,,True,False
American International Group (AIG),2021,2022-03-31,221,0.0009838015812361,1.133717779335371,0.0279611743835211,-0.0299451112473378,0.0147836458898495,0.0279611743835211,-0.00845326825035958,0.015746140822402742,96.0,0.53125,0.0625,0.46875,41.0,0.3658536585365853,0.073170731707317,0.2926829268292683,1.2580645161290325,1.2682926829268293,41.0,31.0,AIG,both,,True,False
