dv,term,coef,hc3_se,hc3_p,cluster_se,cluster_p,n
Q,Corporate_ESG_share_lag,0.03155366693509824,0.03341375971106052,0.34500025690379976,0.029667363895081587,0.2875182115431745,183
Q,Specificity_mean_lag,0.0032376392405389608,0.013856167636986431,0.8152485451139015,0.012262667795953851,0.7917613852851686,183
Q,SR_CEO_Letter_lag1,0.01309241180917347,0.024019666928067118,0.5857050324277695,0.026969373708718828,0.627353770870346,183
Q,SR_CEO_Letter_lag1:Specificity_mean_lag,-0.003901645975704797,0.01530111541759677,0.7987300881271105,0.016704704484896252,0.8153221596398565,183
Q,ESGSentiment_Corporate_lag,0.011147179734139576,0.019901865600670494,0.5754062676607647,0.014237961656410735,0.4336743067792672,183
Q,SR_CEO_Letter_lag1:ESGSentiment_Corporate_lag,-0.01960105443004631,0.022800639211515587,0.3899702770024036,0.016903320166954953,0.2462125597348126,183
ROE,Corporate_ESG_share_lag,0.009987358168898973,0.01862860640139333,0.591868580925182,0.015617742139258102,0.5225055391691292,183
ROE,Specificity_mean_lag,-0.007021565064755643,0.007075393008523882,0.32100622648416255,0.006103770304711449,0.249993479088241,183
ROE,SR_CEO_Letter_lag1,-0.002462173646462184,0.014720593955717766,0.8671650965286186,0.011987277223348568,0.8372604737112735,183
ROE,SR_CEO_Letter_lag1:Specificity_mean_lag,0.004389633057510041,0.01094251593201695,0.6883068114710524,0.010024538745954673,0.6614669082769177,183
ROE,ESGSentiment_Corporate_lag,0.0005272994120952505,0.00877298512566047,0.9520720857136197,0.004833618972344901,0.9131311197854526,183
ROE,SR_CEO_Letter_lag1:ESGSentiment_Corporate_lag,-0.006257116438297447,0.013000994066649117,0.6303176181119845,0.01078389268335646,0.5617608767598392,183
